chrom,V1
contig_3920,108
contig_1001,80
contig_895,37
contig_2239,62
contig_358,64
scaffold_1203,63
contig_9132,71
contig_6850,39
contig_7163,66
contig_477,84
contig_6550,59
contig_1189,61
contig_2235,38
contig_3328,33
contig_2296,43
contig_4025,42
contig_1102,52
contig_3577,35
contig_11459,28
contig_8815,26
contig_5636,9
contig_426,24
contig_5067,47
contig_5246,14
contig_13538,9
contig_2195,52
contig_5413,29
contig_3446,36
scaffold_1021,19
contig_1188,41
contig_1501,50
contig_2541,57
contig_1790,38
contig_8090,20
contig_3145,39
contig_9855,32
contig_916,37
scaffold_30493,22
contig_775,30
contig_1390,2
contig_23359,36
contig_2063,31
contig_3546,24
contig_21087,39
contig_3596,20
contig_1995,18
contig_1101,19
contig_336,54
scaffold_20197,43
contig_5647,73
contig_5069,33
scaffold_30212,41
contig_6041,53
contig_4222,27
contig_11358,32
contig_777,40
contig_18,52
contig_830,35
contig_9930,10
contig_2899,14
contig_790,52
contig_1237,8
contig_1196,24
contig_766,43
contig_1828,12
contig_680,40
contig_24,30
contig_8581,14
contig_1654,15
contig_348,42
contig_5844,14
contig_2131,44
contig_11855,17
contig_4585,1
contig_8456,36
contig_4978,20
scaffold_7156,18
contig_867,42
contig_10861,31
contig_44636,46
contig_10521,16
contig_3208,20
contig_11433,24
contig_1190,38
contig_3996,18
contig_247,16
contig_2581,30
contig_2962,13
contig_314,19
contig_4326,27
contig_1801,19
contig_12330,5
contig_3936,14
contig_58,21
contig_1906,47
contig_6800,19
contig_1166,20
contig_5692,17
scaffold_5305,19
contig_21928,35
contig_10079,21
contig_3574,55
contig_364,23
contig_19157,26
contig_13763,17
contig_2377,16
contig_5451,48
contig_5955,38
contig_204,62
contig_727,5
contig_7525,43
contig_9779,4
contig_4232,22
contig_3370,33
contig_10836,43
contig_1867,22
contig_16269,50
contig_5860,23
contig_1458,28
contig_519,13
contig_19741,20
contig_582,13
contig_29838,43
contig_13454,20
contig_15344,41
contig_4861,11
contig_11400,10
scaffold_20941,21
contig_1960,17
contig_2710,7
contig_2344,25
contig_2321,34
contig_2966,17
contig_318,32
contig_2544,65
contig_15860,25
contig_8045,17
contig_2921,35
scaffold_18141,32
contig_20388,8
contig_14367,11
contig_1157,12
contig_1023,6
contig_6506,15
contig_5261,31
contig_5713,49
contig_8978,17
contig_805,25
contig_597,2
contig_983,19
contig_14155,15
contig_2202,28
contig_3102,42
contig_2861,33
contig_18407,3
contig_18336,20
contig_5197,26
contig_4227,19
contig_2130,20
contig_1499,21
contig_2944,16
contig_27306,31
contig_23590,15
contig_2818,14
contig_4251,19
contig_9090,23
contig_11616,16
contig_3039,21
contig_5735,19
contig_25489,15
contig_1423,16
scaffold_1896,19
contig_19928,19
contig_17017,18
contig_5314,21
contig_52234,20
contig_8348,4
contig_21380,17
contig_591,16
contig_5390,15
contig_1970,1
contig_7867,36
contig_1663,20
contig_16302,11
contig_1253,8
scaffold_561,39
contig_773,9
contig_871,28
contig_5262,14
contig_678,19
contig_16129,10
contig_2671,23
contig_191,28
contig_554,10
contig_2117,35
contig_5386,31
contig_863,13
contig_5901,17
contig_3927,8
contig_6251,17
contig_3590,18
contig_4325,24
contig_5364,20
contig_7482,5
contig_24262,9
scaffold_36869,7
scaffold_15513,4
contig_1889,14
contig_22395,32
contig_2992,8
contig_2055,9
contig_17736,21
contig_19786,20
contig_10468,17
contig_1596,8
contig_20957,9
contig_1850,13
contig_5543,8
contig_1061,10
contig_3337,14
contig_24412,18
contig_149,14
contig_1431,5
contig_2733,5
contig_6881,15
contig_8740,11
contig_9591,19
contig_24106,11
contig_437,27
contig_114,14
contig_16397,6
contig_2951,16
contig_5129,9
contig_7989,23
contig_4857,22
contig_13673,33
contig_2638,15
contig_910,22
contig_1649,20
contig_797,12
contig_19992,34
contig_5082,29
contig_4611,41
contig_1808,21
contig_1566,20
contig_3281,34
contig_6740,21
contig_5322,1
contig_12066,12
scaffold_2141,19
contig_1525,45
contig_1263,4
contig_27798,16
contig_4897,27
contig_14372,19
contig_298,6
contig_1011,37
scaffold_106,54
contig_1054,1
contig_1386,22
contig_5424,16
contig_5204,25
contig_18182,8
contig_32,1
contig_11822,16
contig_4607,20
contig_8259,1
contig_9513,29
contig_6202,28
contig_11758,21
contig_363,8
contig_6923,28
scaffold_31411,11
contig_1457,35
contig_8033,7
contig_5859,33
scaffold_2197,33
contig_3482,5
contig_2428,32
contig_13795,4
scaffold_3663,15
scaffold_274,13
contig_5212,10
contig_5831,50
contig_27808,42
contig_3057,13
contig_21163,17
contig_28651,8
contig_12950,20
contig_1736,18
contig_2168,7
contig_4944,12
contig_2203,10
contig_3152,4
contig_21153,11
contig_11051,5
contig_27301,25
contig_9443,6
contig_25554,10
contig_29256,37
contig_2446,8
scaffold_5899,13
contig_6579,14
contig_3280,11
contig_10620,2
contig_35938,2
contig_11298,17
contig_7929,9
contig_12026,22
scaffold_50169,21
contig_4721,19
contig_3070,29
contig_1530,8
contig_815,21
contig_37676,17
contig_23152,15
contig_17056,4
contig_458,22
contig_14300,21
scaffold_22178,11
contig_15288,13
contig_3314,7
contig_2265,6
contig_98,5
scaffold_3265,10
contig_2486,30
contig_2939,18
contig_22782,6
contig_3857,19
contig_1216,10
contig_3047,17
contig_23283,4
contig_2256,15
contig_13302,13
contig_2855,13
contig_7515,7
contig_11415,18
contig_20130,2
contig_20250,32
contig_2898,5
contig_25027,18
contig_3069,27
contig_29083,27
contig_18026,20
contig_444,21
contig_2053,11
contig_10617,30
contig_11590,18
contig_20547,6
contig_1615,17
contig_2799,14
contig_4840,21
contig_23018,7
contig_11437,14
contig_25070,16
contig_3468,3
contig_4558,12
contig_22204,3
contig_27365,8
contig_1468,24
contig_16616,10
contig_3189,9
contig_1154,23
contig_15178,23
contig_28,3
contig_9337,46
contig_4277,8
contig_3492,23
contig_4199,16
contig_2779,21
contig_4484,13
contig_11768,32
contig_6176,21
contig_5752,16
contig_1538,9
contig_17768,35
contig_624,15
contig_18725,2
contig_6384,11
contig_862,13
contig_11584,17
contig_22937,20
contig_5078,11
contig_12828,7
contig_15690,10
contig_4837,22
contig_10746,10
contig_2798,28
contig_16011,8
contig_822,4
contig_7652,10
contig_1510,13
contig_4828,22
contig_4413,14
contig_18752,8
contig_49931,10
contig_6475,11
contig_10232,25
contig_12218,11
contig_4171,16
contig_28493,9
contig_13986,7
contig_14716,5
contig_20066,10
contig_5793,24
contig_26286,13
contig_13383,34
contig_28605,6
contig_5179,41
contig_22663,14
contig_7818,7
contig_4431,25
contig_1634,45
contig_6685,5
contig_19497,10
contig_11920,7
contig_4231,33
contig_3704,9
contig_1965,23
contig_14187,11
contig_30890,7
contig_3391,7
contig_11197,12
contig_12934,3
contig_128,11
contig_2578,27
contig_4446,19
contig_21389,42
contig_23130,18
contig_693,12
contig_2557,28
contig_7812,18
contig_31830,6
contig_1507,9
contig_7806,17
contig_32363,12
contig_16170,23
scaffold_1437,6
contig_11264,7
contig_2171,39
contig_15770,1
contig_15340,24
scaffold_1584,13
contig_2677,22
scaffold_47783,57
contig_720,12
contig_2847,9
contig_1002,10
contig_20690,8
contig_4096,3
contig_1581,20
contig_12000,23
scaffold_53305,33
contig_9875,31
contig_3976,24
contig_2882,19
contig_24985,12
scaffold_28333,10
contig_10188,7
contig_22857,31
contig_2298,8
contig_24847,25
contig_7027,11
scaffold_30683,16
contig_5572,12
contig_27975,9
contig_1312,6
contig_6731,14
contig_10377,18
contig_4827,1
contig_2435,19
scaffold_25826,26
contig_25498,6
contig_23536,2
contig_11214,9
contig_699,5
contig_471,17
contig_29229,34
contig_20252,20
contig_8437,5
contig_17285,1
contig_6038,6
contig_33746,17
contig_1129,14
contig_5937,11
contig_3122,9
scaffold_40091,15
contig_9398,25
contig_4782,16
