Individual	Location	Pasture	Parasitism	pop_para	pop_para_past
Rpoa1	Ruakura	Poa	parasitized	Ruakura_parasitized	Ruakura_parasitized_Poa
Rpoa2	Ruakura	Poa	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Poa
Rpoa3	Ruakura	Poa	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Poa
Rpoa4	Ruakura	Poa	parasitized	Ruakura_parasitized	Ruakura_parasitized_Poa
Rpoa5	Ruakura	Poa	parasitized	Ruakura_parasitized	Ruakura_parasitized_Poa
Rpoa6	Ruakura	Poa	parasitized	Ruakura_parasitized	Ruakura_parasitized_Poa
Rpoa7	Ruakura	Poa	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Poa
Rpoa8	Ruakura	Poa	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Poa
Rpoa9	Ruakura	Poa	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Poa
Rpoa10	Ruakura	Poa	parasitized	Ruakura_parasitized	Ruakura_parasitized_Poa
Rpoa11	Ruakura	Poa	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Poa
Rpoa12	Ruakura	Poa	parasitized	Ruakura_parasitized	Ruakura_parasitized_Poa
Rpoa13	Ruakura	Poa	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Poa
Rpoa14	Ruakura	Poa	parasitized	Ruakura_parasitized	Ruakura_parasitized_Poa
Rpoa15	Ruakura	Poa	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Poa
Rpoa16	Ruakura	Poa	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Poa
Rpoa17	Ruakura	Poa	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Poa
Rpoa18	Ruakura	Poa	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Poa
Rpoa19	Ruakura	Poa	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Poa
Rpoa20	Ruakura	Poa	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Poa
Rpoa21	Ruakura	Poa	parasitized	Ruakura_parasitized	Ruakura_parasitized_Poa
Rpoa22	Ruakura	Poa	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Poa
Rpoa23	Ruakura	Poa	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Poa
Rpoa24	Ruakura	Poa	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Poa
Rpoa25	Ruakura	Poa	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Poa
